"id","name","city","state","zip","holeCount","rating","latitude","longitude"
"adventist-discovery-park","Adventist DISCovery Park","Opelika ","Alabama","36804",3,,32.6454116,-85.3782795
"agape-disc-golf-course","Agape Disc Golf Course","Scottsboro ","Alabama","35769",9,,34.6228192,-86.08069189999999
"aggieland-disc-golf","Aggieland Disc Golf","Hamilton ","Alabama","35570",18,,34.1423235,-87.98864379999999
"agricultural-heritage-park","Agricultural Heritage Park","Auburn ","Alabama","36830",9,,32.5944595,-85.49233439999999
"arab-city-park-844-shoal-creek-trail-35016","Arab City Park","Arab ","Alabama","35016",18,,34.3178353,-86.48182779999999
"asbury-umc-disc-golf-course","Asbury UMC Disc Golf Course","Madison ","Alabama","35758",9,,34.7345,-86.703071
"athens-state-university","Athens State University","Athens ","Alabama","35611",9,,34.8055801,-86.9645309
"auburn-university-montgomery-aum","Auburn University Montgomery (AUM)","Montgomery ","Alabama","36117",22,,32.3697457,-86.1766584
"baker-high-school","Baker High School"," Mobile ","Alabama","36608",9,,30.6695103,-88.25222149999999
"bowers-park","Bowers Park","Tuscaloosa ","Alabama","35405",18,4,33.1771041,-87.5113813
"brahan-springs-park","Brahan Springs Park","Huntsville ","Alabama","35805",18,3,34.7053182,-86.6003214
"brush-creek-park","Brush Creek Park","Waterloo ","Alabama","35677",18,,34.9039299,-87.9881374
"burnt-corn-creek-park","Burnt Corn Creek Park","Brewton ","Alabama","36426",9,4,31.1538647,-87.08579139999999
"calhoun-huntsville-campus-disc-golf-course","Calhoun Huntsville Campus Disc Golf Course","Huntsville ","Alabama","35805",6,,34.6824569,-86.6387445
"camp-127","Camp 1:27","Clanton ","Alabama","35046",18,4,32.8492509,-86.51573909999999
"capital-city-disc-golf-course-0","Capital City Disc Golf Course","St. Stephens ","Alabama","36569",18,,31.5561333,-88.0376136
"casture-pattle-dgc","Casture Pattle Disc Golf Course","Lanett ","Alabama","36863",18,4,32.8475631,-85.2552697
"chapman-pines-disc-golf-course","Chapman Pines Disc Golf Course","Huntsville ","Alabama","35811",18,,34.7734165,-86.54733569999999
"chickasabogue-county-park-new-ridge","Chickasabogue County Park - New Ridge","Eight Mile ","Alabama","36613",18,,30.7792176,-88.10728920000001
"chickasabogue-county-park","Chickasabogue County Park - Original","Eight Mile ","Alabama","36613",18,4,30.7792176,-88.10728920000001
"chickasaw-community-park","Chickasaw Community Park","Chickasaw ","Alabama","36611",18,4,30.76483,-88.07426509999999
"choccolocco-park","Choccolocco Park","Oxford ","Alabama","36203",18,,33.6006433,-85.7865571
"citronelle-municipal-park","Citronelle Municipal Park","Citronelle ","Alabama","36522",18,5,31.066847,-88.3166768
"clanton-disc-golf-course","Clanton Disc Golf Course","Clanton ","Alabama","35045",18,4,32.8434961,-86.62691679999999
"clay-disc-golf-course","Clay Disc Golf Course","Clay ","Alabama","35126",21,,33.7142894,-86.57751040000001
"cottage-hill-park","Cottage Hill Park","Mobile ","Alabama","36695",18,3,30.6564487,-88.1858075
"creola-city-park","Creola City Park","Creola ","Alabama","36525",18,,30.8920993,-88.0378195
"daphne-central-park","Daphne Central Park","Daphne ","Alabama","36526",18,5,30.6488356,-87.9027959
"diamond-disc-golf","Diamond Disc Golf","Cottonwood ","Alabama","36320",9,,31.0699391,-85.37537010000001
"disc-golf-kymulga","Disc Golf Kymulga","Childersburg ","Alabama","35044",18,,33.6302375,-86.6022886
"drake-springs","Drake Springs","Huntsville ","Alabama","35805",9,,34.7053182,-86.6003214
"dublin-park","Dublin Park","Madison ","Alabama","35758",9,2,34.7093546,-86.7351659
"elkahatchee-state-park","Elkahatchee State Park","Alexander City ","Alabama","35010",9,3,32.926169,-85.96638949999999
"fairhope-municipal-park","Fairhope Municipal Park","Fairhope ","Alabama","36532",20,5,30.5240334,-87.91218099999999
